tape+AF8-video,complete,individual,treatment,rank,date,temperature,weight,ct+AF8-width,scrape+AF8-avg,srms+AF8-avg,thump+AF8-avg,trms+AF8-avg,buzz+AF8-avg,brms+AF8-avg,srates+AF8-avg,sfreq+AF8-avg,tfreq+AF8-avg,bfreq+AF8-avg,comments
2+AC0-12,TRUE,929,warm,2,5/8/2013,46.1111,0.0125,1.04067,0.107335,30.8128,0.169954,22.4664,1.02805,13.1795,8.2795285,67.2981,92.9249,139.955,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-8,TRUE,929,rt,1,5/6/2013,27.2222,0.00846,1.04067,0.187821,52.4663,0.281221,30.6599,2.08462,25.6353,5.4440561,41.1588,61.5871,70.3846,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-14,TRUE,929,cool,3,6/5/2013,22.7778,0.00977,1.04067,0.25703,47.0407,0.354985,33.2182,3.20413,25.1319,3.5854306,33.495,46.7429,47.9171,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-4,FALSE,684,rt,1,10/5/2012,26.6667,nan,1.001,0.189846,54.138,0.42106,56.4589, , ,4.9980326,31.0633,101.542, ,+ACI-+AFs-'never completed buzz' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
1+AC0-8,FALSE,684,warm,2,10/12/2012,38.3333,nan,1.001,0.105489,54.2395,0.155072,51.2051,1.5002,37.9747,9.7448962,94.62,128.859,133.906,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
1+AC0-14,FALSE,684,cool,3,10/16/2012,23.8889,nan,1.001,0.248455,55.6974,0.390966,55.8463,3.6786,34.7181,4.2415775,31.6134,58.3504,62.3752,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
2+AC0-19,TRUE,938,cool,2,6/13/2013,22.7778,0.00669,nan,0.247644,56.7122,0.443986,42.8781,3.94598,28.211,4.0520682,32.0336,41.2388,57.2732,+ACI-+AFs-'Not very good file. ' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
2+AC0-20,TRUE,938,rt,3,6/17/2013,26.6667,0.00625,nan,0.208087,54.9849,0.335174,39.6654,2.99743,21.9663,4.625487,63.9208,56.297,61.3415,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
2+AC0-17,TRUE,938,warm,1,6/12/2013,34.4444,0.00766,nan,0.112736,30.9951,0.207184,21.7027,1.5875,12.3041,8.3991722,57.9071,91.8881,109.62,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-21,TRUE,932,warm,3,6/17/2013,38.8889,0.00704,0.959667,0.1041,23.8205,0.155233,25.3055,1.02905,17.2186,9.8794324,71.7553,117.433,137.434,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-18,TRUE,932,rt,2,6/13/2013,25.5556,0.00635,0.959667,0.218753,50.272,0.360892,34.3221,3.35245,19.5192,4.5319471,30.9489,53.0391,62.5721,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' ''+AF0-+ACI-
2+AC0-16,TRUE,932,cool,1,6/12/2013,21.1111,nan,0.959667,0.313135,54.0648,0.507413,44.2029,3.48936,20.5443,3.819017,26.8311,47.0383,46.2344,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-7,FALSE,679,warm,1,10/12/2012,36.1111,nan,1.091,0.116805,47.462,0.172557,50.5245,0.871457,33.8484,7.4934457,48.8996,92.3061,144.711,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-27,FALSE,679,rt,2,10/19/2012,26.0556,nan,1.091,0.200283,61.6971,0.352497,51.7534,2.51154,37.1068,4.887276,20.1484,67.0974,68.8051,+ACI-+AFsAIgAi-don't use +AC0- use next+ACIAIg- '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
1+AC0-30,FALSE,679,rt,3,10/23/2012,25.5556,nan,1.091,0.210052,56.9995,0.493447,52.4949,3.32141,30.5913,4.668144,17.0668,64.7825,71.141,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-13,TRUE,41,rt,3,5/8/2013,26.6667,0.00842,1.063,0.183333,47.587,0.411739,37.359,2.32886,22.7267,5.2672007,61.5567,67.6318,69.3756,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' ''+AF0-+ACI-
2+AC0-6,TRUE,41,warm,2,5/6/2013,41.6667,0.0072,1.063,0.105369,33.3976,0.236532,29.0353,1.80847,9.31609,9.7478286,96.0061,117.262,140.072,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-5,TRUE,41,cool,1,4/17/2013,22.7778,nan,1.063,0.326368,54.5614,0.577869,53.3382,6.41793,22.9871,3.1529142,21.3138,42.9181,45.1928,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-3,TRUE,789,rt,1,10/5/2012,26.6667,nan,nan,0.190334,42.1973,0.236673,54.8846,5.63486,43.5357,4.9866298,104.4792815855,108.795,158.265,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-15,TRUE,789,cool,3,10/16/2012,21.6667,nan,nan,0.287095,56.8912,0.449962,53.1054,6.46288,38.1085,3.4578679,41.1097,44.823,49.9596,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' ''+AF0-+ACI-
1+AC0-10,TRUE,789,warm,2,10/12/2012,36.0556,nan,nan,0.119146,46.0374,0.210154,45.8258,2.12372,20.537,8.4312814,58.1213,104.666,119.003,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-1,TRUE,614,rt,1,10/2/2012,26.6667,nan,nan,0.273065,28.6686,0.366478,52.3834,3.27349,57.7381,3.4857791,180.101,159.345,181.978,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-9,TRUE,614,warm,2,10/12/2012,41.1111,nan,nan,0.103293,54.3396,0.203606,54.2224,1.32656,33.1423,9.609605,71.9921,164.595,184.527,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-13,TRUE,614,cool,3,10/16/2012,21.6667,nan,nan,0.348607,47.0783,0.505851,47.3295,3.59856,32.909,2.7499745,20.8234,45.5902,52.3506,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-34,TRUE,692hcly,warm,3,10/29/2012,46.6667,nan,nan,0.098905,41.5077,0.175697,37.1478,1.15576,18.7645,10.4191613,48.6427,131.474,160.035,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-23,TRUE,692hcly,rt,2,10/19/2012,26,nan,nan,0.199396,57.6782,0.379331,52.8927,2.74374,44.9688,4.6604372,19.0807,63.3382,139.734,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-17,TRUE,692hcly,cool,1,10/16/2012,20,nan,nan,0.298706,52.3895,0.488152,54.2073,3.65673,54.674,3.4380285,17.832,46.0412,92.4062,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-10,TRUE,956,rt,3,5/8/2013,26.1111,0.00925,1.079,0.226232,53.3236,0.326537,40.6156,4.27361,14.9777,4.7538383,21.0264,52.3931,75.4682,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
2+AC0-7,TRUE,956,warm,2,5/6/2013,35,0.00771,1.079,0.118245,47.7401,0.21231,34.0733,2.46937,8.94801,8.5792484,40.58,86.8924,114.394,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' ''+AF0-+ACI-
2+AC0-4,TRUE,956,cool,1,4/17/2013,22.2222,nan,1.079,0.323671,51.4385,0.436232,51.4409,6.40049,21.2245,2.9913895,24.1666,40.3004,48.0121,+ACI-+AFs-'strange habit of a t' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-28,TRUE,566,warm,1,10/19/2012,34.0556,nan,1.076,0.141466,42.431,0.258661,39.0802,1.46993,20.9034,7.2182656,78.9725,97.1078,111.204,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-39,TRUE,566,rt,3,10/29/2012,27.7778,nan,1.076,0.19789,55.8904,0.439858,46.4745,2.51474,27.4523,5.1684097,49.7241,73.5967,79.8397,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-31,TRUE,566,cool,2,10/23/2012,21.6667,nan,1.076,0.381587,53.7002,0.746127,51.7854,4.17086,28.8261,2.7411098,34.9655,46.727,53.885,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' ''+AF0-+ACI-
2+AC0-37,TRUE,692m,warm,3,10/29/2012,40.5556,nan,nan,0.100648,51.4911,0.135932,35.1625,1.40651,17.1937,9.6812041,60.4643,124.798,135.649,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-12,TRUE,692m,cool,1,10/12/2012,20,nan,nan,0.346604,54.062,0.47658,57.7538,3.17932,45.9951,2.696336,21.6064,39.0634,38.1252,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-41,TRUE,692m,rt,3,10/30/2012,25,nan,nan,0.217692,58.8142,0.356928,46.9072,3.09792,32.8416,4.3623016,34.326,55.6349,77.0405,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-42,TRUE,676,rt,3,10/30/2012,25.5556,nan,nan,0.198625,57.277,0.441614,54.823,3.12506,38.6658,4.5670486,17.9626,59.9865,60.5728,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-40,TRUE,676,cool,2,10/29/2012,21.6667,nan,nan,0.255719,57.7963,0.458201,56.2066,3.32086,39.0165,3.5585505,11.4115,38.7423,47.4134,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-29,TRUE,676,warm,1,10/19/2012,45,nan,nan,0.105704,50.3128,0.179373,46.4123,1.03184,25.7611,9.839576,91.3664,99.876,143.655,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-32,TRUE,698,cool,3,10/23/2012,20.5556,nan,1.051,0.38254,47.2217,0.364414,41.556,2.85426,28.2918,2.5135175,28.2248,36.1793,48.9293,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
1+AC0-18,TRUE,698,rt,2,10/16/2012,25,nan,1.051,0.253962,57.5584,0.314397,50.9758,2.45059,54.2584,3.9192765,89.6821,99.402,198.591,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-5,TRUE,698,warm,1,10/12/2012,40.5556,nan,1.051,0.112709,44.9064,0.149967,39.0097,1.17343,25.3086,9.1078503,100.624,109.258,144.275,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' ''+AF0-+ACI-
1+AC0-35,TRUE,696,warm,3,10/29/2012,41.1111,nan,1.134,0.112335,45.2269,0.197951,48.2604,1.21111,22.2688,9.1638901,60.8821,136.047,148.397,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-24,TRUE,696,rt,2,10/19/2012,26,nan,1.134,0.232166,56.5581,0.310443,56.1442,2.60454,44.7161,4.6086789,53.9528,71.8898,128.482,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-20,TRUE,696,cool,1,10/16/2012,20,nan,1.134,0.341324,51.8631,0.473022,55.5562,3.89899,42.431,3.0803528,25.2498,44.9483,76.1225,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-9,FALSE,912,rt,2,5/6/2013,26.6667,0.00577,1.044,0.186907,51.5957,0.316607,38.1506,2.53635,21.9824,5.3787991,37.4514,67.2635,73.5396,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-11,FALSE,912,rt,3,5/8/2013,26.6667,0.00753,1.044,0.315443,47.8171,0.378247,41.0352,3.32901,28.4832,3.2976352,34.82,44.3761,51.1183,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
2+AC0-1,FALSE,912,warm,1,4/17/2013,42.2222,nan,1.044,0.109279,41.724,0.118739,25.2152,1.53404,19.9605,8.813947,102.999,113.02,132.632,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-38,FALSE,697,rt,2,10/29/2012,28.3333,nan,nan,0.166471,57.3869,0.301999,54.1777,3.23508,36.349,5.9117389,38.4341,80.3298,79.9517,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-6,FALSE,697,warm,1,10/12/2012,38.3333,nan,nan,0.106546,51.158,0.174408,46.8883,1.34796,24.3946,8.958061,65.214,92.0311,121.827,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-25,TRUE,702,rt,2,10/19/2012,26.1667,nan,1.12,0.201007,55.0918,0.289657,54.658,2.44377,30.9928,4.6299825,45.7133,61.2003,73.994,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-33,TRUE,702,warm,3,10/29/2012,36.6667,nan,1.12,0.119123,56.8636,0.238396,51.9421,1.55753,23.5356,8.1355346,64.0166,110.731,122.504,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-21,TRUE,702,cool,1,10/16/2012,20,nan,1.12,0.384195,41.8768,0.522454,52.2278,3.30362,35.1911,2.6583246,22.7283,39.3966,43.8937,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-44,TRUE,674,warm,3,11/6/2012,40.5556,nan,1.071,0.100674,36.9509,0.237857,42.8482,0.918418,19.9859,10.9271426,60.7873,149.612,157.722,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-16,TRUE,674,cool,1,10/16/2012,20,nan,1.071,0.310481,54.1465,0.653883,44.3443,4.40742,34.4591,3.1868809,32.0148,55.1554,45.9443,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-22,TRUE,674,rt,2,10/19/2012,25.3889,nan,1.071,0.210548,63.1205,0.43982,47.7757,2.66789,26.0248,4.7957338,20.7612,69.5316,64.4915,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-43,TRUE,666,cool,2,11/1/2012,22.7778,nan,1.103,0.304141,60.4421,0.568696,51.9668,2.12929,34.2259,3.2304306,24.0288,41.8242,104.883,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-45,TRUE,666,warm,3,11/6/2012,40.5556,nan,1.103,0.128774,43.723,0.251998,38.1558,1.18793,18.8471,8.208417,57.627,107.743,130.216,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '' '' '' '' '' '' '' '' ''+AF0-+ACI-
1+AC0-26,TRUE,666,rt,1,10/19/2012,26.6111,nan,1.103,0.229892,56.3522,0.491162,48.5442,1.73994,31.7018,4.037267,29.7785,62.7308,101.388,+ACI-+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 ''+AF0-+ACI-
1+AC0-2,FALSE,672,rt,1,10/2/2012,26.6667,nan,1.012,0.260237,50.7795,0.549218,51.9436,3.65913,26.1382,3.7683878,43.1712,49.378,68.7171,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
1+AC0-11,FALSE,672,warm,2,10/12/2012,47.7778,nan,1.012,0.115067,40.1913,0.174439,28.3611,0.462221,13.6098,9.2423851,105.149,118,137.267,+AFs-'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''+AF0-
